State,CD #,County,"County Pop. in CD","% of CD in County"
AR,1,St. Francis,"28,258",3.90%
AR,1,Searcy,"7,645",1.00%
AR,1,Sharp,"17,264",2.40%
AR,1,Stone,"12,394",1.70%
AR,1,Woodruff,"7,260",1.00%
AR,2,Conway,"21,273",2.90%
AR,2,Faulkner,"113,237",15.50%
AR,2,Perry,"10,445",1.40%
AR,2,Pulaski,"382,748",52.50%
AR,2,Saline,"107,118",14.70%
AR,2,Van Buren,"17,295",2.40%
AR,2,White,"77,076",10.60%
AR,3,Benton,"221,339",30.40%
AR,3,Boone,"36,903",5.10%
AR,3,Carroll,"27,446",3.80%
AR,3,Crawford,"44,616",6.10%
AR,3,Marion,"16,653",2.30%
AR,3,Newton,"4,071",0.60%
AR,3,Pope,"61,754",8.50%
AR,3,Searcy,550,0.10%
AR,3,Sebastian,"112,539",15.40%
AR,3,Washington,"203,065",27.90%
AR,4,Ashley,"21,853",3.00%
AR,4,Bradley,"11,508",1.60%
AR,4,Calhoun,"5,368",0.70%
AR,4,Clark,"22,995",3.20%
AR,4,Cleveland,"8,689",1.20%
AR,4,Columbia,"24,552",3.40%
AR,4,Crawford,"17,332",2.40%
AR,4,Dallas,"8,116",1.10%
AR,4,Drew,"18,509",2.50%
AR,4,Franklin,"18,125",2.50%
AR,4,Garland,"96,024",13.20%
AR,4,Grant,"17,853",2.40%
AR,4,Hempstead,"22,609",3.10%
AR,4,Hot Spring,"32,923",4.50%
AR,4,Howard,"13,789",1.90%
AR,4,Jefferson,"74,756",10.30%
AR,4,Johnson,"25,540",3.50%
AR,4,Lafayette,"7,645",1.00%
AR,4,Little River,"13,171",1.80%
AR,4,Logan,"22,353",3.10%
AR,4,Madison,"15,717",2.20%
AR,4,Miller,"43,462",6.00%
AR,4,Montgomery,"9,487",1.30%
AR,4,Nevada,"8,997",1.20%
AR,4,Newton,"4,259",0.60%
AR,4,Ouachita,"26,120",3.60%
AR,4,Pike,"11,291",1.50%
AR,4,Polk,"20,662",2.80%
AR,4,Scott,"11,233",1.50%
AR,4,Sebastian,"13,205",1.80%
AR,4,Sevier,"17,058",2.30%
AR,4,Union,"41,639",5.70%
AR,4,Yell,"22,185",3.00%
AZ,1,Apache,"71,518",10.10%
AZ,1,Coconino,"134,421",18.90%
AZ,1,Gila,"26,230",3.70%
AZ,1,Graham,"37,220",5.20%
AZ,1,Greenlee,"8,437",1.20%
AZ,1,Maricopa,"2,994",0.40%
AZ,1,Mohave,"1,635",0.20%
AZ,1,Navajo,"107,449",15.10%
AZ,1,Pima,"92,091",13.00%
AZ,1,Pinal,"197,677",27.80%
AZ,1,Yavapai,"30,521",4.30%
AZ,2,Cochise,"131,346",18.50%
AZ,2,Pima,"578,865",81.50%
AZ,3,Maricopa,"225,734",31.80%
AZ,3,Pima,"309,307",43.50%
AZ,3,Pinal,545,0.10%
AZ,3,Santa Cruz,"47,420",6.70%
AZ,3,Yuma,"127,231",17.90%
AZ,4,Gila,"27,367",3.90%
AZ,4,La Paz,"20,489",2.90%
AZ,4,Maricopa,"37,268",5.20%
AZ,4,Mohave,"198,551",28.00%
AZ,4,Pinal,"177,548",25.00%
AZ,4,Yavapai,"180,512",25.40%
AZ,4,Yuma,"68,520",9.60%
AZ,5,Maricopa,"710,224",100.00%
AZ,6,Maricopa,"710,031",100.00%
AZ,7,Maricopa,"710,224",100.00%
AZ,8,Maricopa,"710,418",100.00%
AZ,9,Maricopa,"710,224",100.00%
CA,1,Butte,"220,000",31.30%
CA,1,Glenn,"2,321",0.30%
CA,1,Lassen,"34,895",5.00%
CA,1,Modoc,"9,686",1.40%
CA,1,Nevada,"82,378",11.70%
CA,1,Placer,"44,792",6.40%
CA,1,Plumas,"20,007",2.80%
CA,1,Shasta,"177,223",25.20%
CA,1,Sierra,"3,240",0.50%
CA,1,Siskiyou,"44,900",6.40%
CA,1,Tehama,"63,463",9.00%
CA,2,Del Norte,"28,610",4.10%
CA,2,Humboldt,"134,623",19.20%
CA,2,Marin,"252,409",35.90%
CA,2,Mendocino,"87,841",12.50%
CA,2,Sonoma,"185,636",26.40%
CA,2,Trinity,"13,786",2.00%
CA,3,Colusa,"21,419",3.00%
CA,3,Glenn,"25,801",3.70%
CA,3,Lake,"33,614",4.80%
CA,3,Sacramento,"35,921",5.10%
CA,3,Solano,"267,184",38.00%
CA,3,Sutter,"94,737",13.50%
CA,3,Yolo,"152,105",21.60%
CA,3,Yuba,"72,155",10.30%
CA,4,Alpine,"1,175",0.20%
CA,4,Amador,"38,091",5.40%
CA,4,Calaveras,"45,578",6.50%
CA,4,El Dorado,"181,058",25.80%
CA,4,Fresno,"14,912",2.10%
CA,4,Madera,"28,450",4.00%
CA,4,Mariposa,"18,251",2.60%
CA,4,Nevada,"16,386",2.30%
CA,4,Placer,"303,640",43.20%
CA,4,Tuolumne,"55,365",7.90%
CA,5,Contra Costa,"90,968",12.90%
CA,5,Lake,"31,051",4.40%
CA,5,Napa,"136,484",19.40%
CA,5,Solano,"146,160",20.80%
CA,5,Sonoma,"298,242",42.40%
CA,6,Sacramento,"654,118",93.10%
CA,6,Yolo,"48,744",6.90%
CA,7,Sacramento,"702,917",100.00%
CA,8,Inyo,"18,546",2.60%
CA,8,Mono,"14,202",2.00%
CA,8,San Bernardino,"670,153",95.30%
CA,9,Contra Costa,"180,218",25.60%
CA,9,Sacramento,"25,832",3.70%
CA,9,San Joaquin,"496,854",70.70%
CA,10,San Joaquin,"188,452",26.80%
CA,10,Stanislaus,"514,453",73.20%
CA,11,Contra Costa,"702,906",100.00%
CA,12,San Francisco,"702,905",100.00%
CA,13,Alameda,"702,906",100.00%
CA,14,San Francisco,"102,330",14.60%
CA,14,San Mateo,"600,575",85.40%
CA,15,Alameda,"627,971",89.30%
CA,15,Contra Costa,"74,933",10.70%
CA,16,Fresno,"324,696",46.20%
CA,16,Madera,"122,415",17.40%
CA,16,Merced,"255,793",36.40%
CA,17,Alameda,"179,394",25.50%
CA,17,Santa Clara,"523,513",74.50%
CA,18,San Mateo,"117,876",16.80%
CA,18,Santa Clara,"535,700",76.20%
CA,18,Santa Cruz,"49,327",7.00%
CA,19,Santa Clara,"702,904",100.00%
CA,20,Monterey,"415,057",59.00%
CA,20,San Benito,"55,269",7.90%
CA,20,Santa Clara,"19,525",2.80%
CA,20,Santa Cruz,"213,055",30.30%
CA,21,Fresno,"201,449",28.70%
CA,21,Kern,"313,718",44.60%
CA,21,Kings,"152,982",21.80%
CA,21,Tulare,"34,755",4.90%
CA,22,Fresno,"389,393",55.40%
CA,22,Tulare,"313,512",44.60%
CA,23,Kern,"525,913",74.80%
CA,23,Los Angeles,"83,079",11.80%
CA,23,Tulare,"93,912",13.40%
CA,24,San Luis Obispo,"269,637",38.40%
CA,24,Santa Barbara,"423,895",60.30%
CA,24,Ventura,"9,372",1.30%
CA,25,Los Angeles,"585,642",83.30%
CA,25,Ventura,"117,262",16.70%
CA,26,Los Angeles,"8,270",1.20%
CA,26,Ventura,"694,635",98.80%
CA,27,Los Angeles,"670,024",95.30%
CA,27,San Bernardino,"32,881",4.70%
CA,28,Los Angeles,"702,904",100.00%
CA,29,Los Angeles,"702,905",100.00%
CA,30,Los Angeles,"700,855",99.70%
CA,30,Ventura,"2,049",0.30%
CA,31,San Bernardino,"702,909",100.00%
CA,32,Los Angeles,"702,905",100.00%
CA,33,Los Angeles,"702,904",100.00%
CA,34,Los Angeles,"702,904",100.00%
CA,35,Los Angeles,"149,058",21.20%
CA,35,San Bernardino,"553,847",78.80%
CA,36,Riverside,"702,905",100.00%
CA,37,Los Angeles,"702,904",100.00%
CA,38,Los Angeles,"687,337",97.80%
CA,38,Orange,"15,571",2.20%
CA,39,Los Angeles,"195,205",27.80%
CA,39,Orange,"432,280",61.50%
CA,39,San Bernardino,"75,420",10.70%
CA,40,Los Angeles,"702,904",100.00%
CA,41,Riverside,"702,967",100.00%
CA,42,Riverside,"702,847",100.00%
CA,43,Los Angeles,"702,904",100.00%
CA,44,Los Angeles,"702,904",100.00%
CA,45,Orange,"702,921",100.00%
CA,46,Orange,"702,942",100.00%
CA,47,Los Angeles,"412,997",58.80%
CA,47,Orange,"289,844",41.20%
CA,48,Orange,"702,916",100.00%
CA,49,Orange,"163,758",23.30%
CA,49,San Diego,"539,146",76.70%
CA,50,Riverside,"80,922",11.50%
CA,50,San Diego,"621,981",88.50%
CA,51,Imperial,"174,528",24.80%
CA,51,San Diego,"528,378",75.20%
CA,52,San Diego,"702,904",100.00%
CA,53,San Diego,"702,904",100.00%
CO,1,Arapahoe,"50,170",7.00%
CO,1,Denver,"600,158",83.50%
CO,1,Jefferson,"68,129",9.50%
CO,2,Boulder,"206,113",28.70%
CO,2,Broomfield,"55,889",7.80%
CO,2,Clear Creek,"9,088",1.30%
CO,2,Eagle,"14,636",2.00%
CO,2,Gilpin,"5,441",0.80%
CO,2,Grand,"14,843",2.10%
CO,2,Jefferson,"76,853",10.70%
CO,2,Larimer,"299,630",41.70%
CO,2,Park,"7,995",1.10%
CO,2,Summit,"27,994",3.90%
CO,3,Alamosa,"15,445",2.10%
CO,3,Archuleta,"12,084",1.70%
CO,3,Conejos,"8,256",1.10%
CO,3,Costilla,"3,524",0.50%
CO,3,Custer,"4,255",0.60%
CO,3,Delta,"30,952",4.30%
CO,3,Dolores,"2,064",0.30%
CO,3,Eagle,"37,561",5.20%
CO,3,Garfield,"56,389",7.80%
CO,3,Gunnison,"15,324",2.10%
CO,3,Hinsdale,843,0.10%
CO,3,Huerfano,"6,711",0.90%
CO,3,Jackson,"1,394",0.20%
CO,3,Lake,"7,310",1.00%
CO,3,La Plata,"51,334",7.10%
CO,3,Mesa,"146,723",20.40%
CO,3,Mineral,712,0.10%
CO,3,Moffat,"13,795",1.90%
CO,3,Montezuma,"25,535",3.60%
CO,3,Montrose,"41,276",5.70%
CO,3,Ouray,"4,436",0.60%
CO,3,Pitkin,"17,148",2.40%
CO,3,Pueblo,"159,063",22.10%
CO,3,Rio Blanco,"6,666",0.90%
CO,3,Rio Grande,"11,982",1.70%
CO,3,Routt,"23,509",3.30%
CO,3,Saguache,"6,108",0.90%
CO,3,San Juan,699,0.10%
CO,3,San Miguel,"7,359",1.00%
CO,4,Adams,"7,166",1.00%
CO,4,Arapahoe,"7,220",1.00%
CO,4,Baca,"3,788",0.50%
CO,4,Bent,"6,499",0.90%
CO,4,Boulder,"88,454",12.30%
CO,4,Cheyenne,"1,836",0.30%
CO,4,Crowley,"5,823",0.80%
CO,4,Douglas,"187,183",26.10%
CO,4,Elbert,"23,086",3.20%
CO,4,Kiowa,"1,398",0.20%
CO,4,Kit Carson,"8,270",1.20%
CO,4,Las Animas,"15,507",2.20%
CO,4,Lincoln,"5,467",0.80%
CO,4,Logan,"22,709",3.20%
CO,4,Morgan,"28,159",3.90%
CO,4,Otero,"18,831",2.60%
CO,4,Phillips,"4,442",0.60%
CO,4,Prowers,"12,551",1.70%
CO,4,Sedgwick,"2,379",0.30%
CO,4,Washington,"4,814",0.70%
CO,4,Weld,"252,825",35.20%
CO,4,Yuma,"10,043",1.40%
CO,5,Chaffee,"17,809",2.50%
CO,5,El Paso,"622,263",86.60%
CO,5,Fremont,"46,824",6.50%
CO,5,Park,"8,211",1.10%
CO,5,Teller,"23,350",3.30%
CO,6,Adams,"105,561",14.70%
CO,6,Arapahoe,"514,613",71.60%
CO,6,Douglas,"98,282",13.70%
CO,7,Adams,"328,876",45.80%
CO,7,Jefferson,"389,561",54.20%
CT,1,Hartford,"647,876",90.60%
CT,1,Litchfield,"38,914",5.40%
CT,1,Middlesex,"28,030",3.90%
CT,2,Hartford,"68,674",9.60%
CT,2,Middlesex,"82,702",11.60%
CT,2,New Haven,"18,269",2.60%
CT,2,New London,"274,055",38.30%
CT,2,Tolland,"152,691",21.40%
CT,2,Windham,"118,428",16.60%
CT,3,Fairfield,"53,742",7.50%
CT,3,Middlesex,"54,944",7.70%
CT,3,New Haven,"606,133",84.80%
CT,4,Fairfield,"702,136",98.20%
CT,4,New Haven,"12,683",1.80%
CT,5,Fairfield,"160,951",22.50%
CT,5,Hartford,"177,464",24.80%
CT,5,Litchfield,"151,013",21.10%
CT,5,New Haven,"225,392",31.50%
DE,1,Kent,"162,310",18.10%
DE,1,New Castle,"538,479",60.00%
DE,1,Sussex,"197,145",22.00%
FL,1,Escambia,"297,619",42.70%
FL,1,Holmes,"11,489",1.60%
FL,1,Okaloosa,"180,822",26.00%
FL,1,Santa Rosa,"151,372",21.70%
FL,1,Walton,"55,043",7.90%
FL,2,Bay,"168,852",24.20%
FL,2,Calhoun,"14,625",2.10%
FL,2,Columbia,"54,709",7.90%
FL,2,Dixie,"16,422",2.40%
FL,2,Franklin,"11,549",1.70%
FL,2,Gilchrist,"16,939",2.40%
FL,2,Gulf,"15,863",2.30%
FL,2,Holmes,"8,438",1.20%
FL,2,Jackson,"49,746",7.10%
FL,2,Jefferson,"1,153",0.20%
FL,2,Lafayette,"8,870",1.30%
FL,2,Leon,"116,165",16.70%
FL,2,Levy,"40,801",5.90%
FL,2,Liberty,"8,365",1.20%
FL,2,Marion,"44,055",6.30%
FL,2,Suwannee,"41,551",6.00%
FL,2,Taylor,"22,570",3.20%
FL,2,Wakulla,"30,776",4.40%
FL,2,Washington,"24,896",3.60%
FL,3,Alachua,"247,336",35.50%
FL,3,Bradford,"28,520",4.10%
FL,3,Clay,"190,865",27.40%
FL,3,Marion,"139,725",20.10%
FL,3,Putnam,"74,364",10.70%
FL,3,Union,"15,535",2.20%
FL,4,Duval,"461,197",66.20%
FL,4,Nassau,"73,314",10.50%
FL,4,St. Johns,"161,834",23.20%
FL,5,Baker,"27,115",3.90%
FL,5,Columbia,"12,822",1.80%
FL,5,Duval,"403,066",57.90%
FL,5,Gadsden,"46,389",6.70%
FL,5,Hamilton,"14,799",2.10%
FL,5,Jefferson,"13,608",2.00%
FL,5,Leon,"159,322",22.90%
FL,5,Madison,"19,224",2.80%
FL,6,Flagler,"95,696",13.70%
FL,6,Lake,"77,851",11.20%
FL,6,St. Johns,"28,205",4.10%
FL,6,Volusia,"494,593",71.00%
FL,7,Orange,"273,627",39.30%
FL,7,Seminole,"422,718",60.70%
FL,8,Brevard,"543,376",78.00%
FL,8,Indian River,"138,028",19.80%
FL,8,Orange,"14,940",2.10%
FL,9,Orange,"161,044",23.10%
FL,9,Osceola,"268,685",38.60%
FL,9,Polk,"266,615",38.30%
FL,10,Orange,"696,345",100.00%
FL,11,Citrus,"141,236",20.30%
FL,11,Hernando,"172,778",24.80%
FL,11,Lake,"141,392",20.30%
FL,11,Marion,"147,518",21.20%
FL,11,Sumter,"93,420",13.40%
FL,12,Hillsborough,"11,451",1.60%
FL,12,Pasco,"464,697",66.70%
FL,12,Pinellas,"220,197",31.60%
FL,13,Pinellas,"696,345",100.00%
FL,14,Hillsborough,"696,345",100.00%
FL,15,Hillsborough,"363,759",52.20%
FL,15,Lake,"77,809",11.20%
FL,15,Polk,"254,777",36.60%
FL,16,Hillsborough,"157,671",22.60%
FL,16,Manatee,"322,833",46.40%
FL,16,Sarasota,"215,841",31.00%
FL,17,Charlotte,"159,978",23.00%
FL,17,DeSoto,"34,862",5.00%
FL,17,Glades,"12,884",1.90%
FL,17,Hardee,"27,731",4.00%
FL,17,Highlands,"98,786",14.20%
FL,17,Lee,"77,798",11.20%
FL,17,Okeechobee,"39,996",5.70%
FL,17,Polk,"80,703",11.60%
FL,17,Sarasota,"163,607",23.50%
FL,18,Martin,"146,318",21.00%
FL,18,Palm Beach,"272,237",39.10%
FL,18,St. Lucie,"277,789",39.90%
FL,19,Collier,"155,389",22.30%
FL,19,Lee,"540,956",77.70%
FL,20,Broward,"467,229",67.10%
FL,20,Palm Beach,"229,115",32.90%
FL,21,Palm Beach,"696,345",100.00%
FL,22,Broward,"573,908",82.40%
FL,22,Palm Beach,"122,437",17.60%
FL,23,Broward,"624,861",89.70%
FL,23,Miami-Dade,"71,484",10.30%
FL,24,Broward,"82,068",11.80%
FL,24,Miami-Dade,"614,277",88.20%
FL,25,Collier,"166,131",23.90%
FL,25,Hendry,"39,140",5.60%
FL,25,Miami-Dade,"491,074",70.50%
FL,26,Miami-Dade,"623,255",89.50%
FL,26,Monroe,"73,090",10.50%
FL,27,Miami-Dade,"696,345",100.00%
GA,1,Bacon,"11,096",1.60%
GA,1,Brantley,"18,411",2.70%
GA,1,Bryan,"30,233",4.40%
GA,1,Camden,"50,513",7.30%
GA,1,Charlton,"12,171",1.80%
GA,1,Chatham,"265,128",38.30%
GA,1,Clinch,"6,798",1.00%
GA,1,Echols,"4,034",0.60%
GA,1,Effingham,"30,877",4.50%
GA,1,Glynn,"79,626",11.50%
GA,1,Liberty,"63,453",9.20%
GA,1,Long,"14,464",2.10%
GA,1,Lowndes,"5,668",0.80%
GA,1,McIntosh,"14,333",2.10%
GA,1,Pierce,"18,758",2.70%
GA,1,Ware,"36,312",5.20%
GA,1,Wayne,"30,099",4.30%
GA,2,Baker,"3,451",0.50%
GA,2,Bibb,"112,650",16.30%
GA,2,Calhoun,"6,694",1.00%
GA,2,Chattahoochee,"11,267",1.60%
GA,2,Clay,"3,183",0.50%
GA,2,Crawford,"12,630",1.80%
GA,2,Crisp,"23,439",3.40%
GA,2,Decatur,"27,842",4.00%
GA,2,Dooly,"14,918",2.20%
GA,2,Dougherty,"94,565",13.70%
GA,2,Early,"11,008",1.60%
GA,2,Grady,"25,011",3.60%
GA,2,Lee,"28,298",4.10%
GA,2,Macon,"14,740",2.10%
GA,2,Marion,"8,742",1.30%
GA,2,Miller,"6,125",0.90%
GA,2,Mitchell,"23,498",3.40%
GA,2,Muscogee,"145,487",21.00%
GA,2,Peach,"27,695",4.00%
GA,2,Quitman,"2,513",0.40%
GA,2,Randolph,"7,719",1.10%
GA,2,Schley,"5,010",0.70%
GA,2,Seminole,"8,729",1.30%
GA,2,Stewart,"6,058",0.90%
GA,2,Sumter,"32,819",4.70%
GA,2,Talbot,"6,865",1.00%
GA,2,Taylor,"8,906",1.30%
GA,2,Terrell,"9,315",1.30%
GA,2,Webster,"2,799",0.40%
GA,3,Carroll,"110,527",16.00%
GA,3,Coweta,"127,317",18.40%
GA,3,Fayette,"88,905",12.80%
GA,3,Harris,"32,024",4.60%
GA,3,Heard,"11,834",1.70%
GA,3,Henry,"60,521",8.70%
GA,3,Lamar,"18,317",2.60%
GA,3,Meriwether,"21,992",3.20%
GA,3,Muscogee,"44,398",6.40%
GA,3,Pike,"17,869",2.60%
GA,3,Spalding,"64,073",9.30%
GA,3,Troup,"67,044",9.70%
GA,3,Upson,"27,153",3.90%
GA,4,DeKalb,"354,275",51.20%
GA,4,Gwinnett,"173,937",25.10%
GA,4,Newton,"78,548",11.40%
GA,4,Rockdale,"85,215",12.30%
GA,5,Clayton,"103,264",14.90%
GA,5,DeKalb,"159,596",23.10%
GA,5,Fulton,"429,116",62.00%
GA,6,Cobb,"178,647",25.80%
GA,6,DeKalb,"178,022",25.70%
GA,6,Fulton,"335,306",48.50%
GA,7,Forsyth,"122,706",17.70%
GA,7,Gwinnett,"569,270",82.30%
GA,8,Atkinson,"8,375",1.20%
GA,8,Ben Hill,"17,634",2.50%
GA,8,Berrien,"19,286",2.80%
GA,8,Bibb,"42,897",6.20%
GA,8,Bleckley,"13,063",1.90%
GA,8,Brooks,"16,243",2.30%
GA,8,Colquitt,"45,498",6.60%
GA,8,Cook,"17,212",2.50%
GA,8,Dodge,"21,796",3.10%
GA,8,Houston,"139,900",20.20%
GA,8,Irwin,"9,538",1.40%
GA,8,Jones,"28,669",4.10%
GA,8,Lanier,"10,078",1.50%
GA,8,Lowndes,"103,565",15.00%
GA,8,Monroe,"26,424",3.80%
GA,8,Pulaski,"12,010",1.70%
GA,8,Telfair,"16,500",2.40%
GA,8,Thomas,"44,720",6.50%
GA,8,Tift,"40,118",5.80%
GA,8,Turner,"8,930",1.30%
GA,8,Twiggs,"9,023",1.30%
GA,8,Wilcox,"9,255",1.30%
GA,8,Wilkinson,"9,563",1.40%
GA,8,Worth,"21,679",3.10%
GA,9,Banks,"18,395",2.70%
GA,9,Clarke,"17,178",2.50%
GA,9,Dawson,"22,330",3.20%
GA,9,Elbert,"20,166",2.90%
GA,9,Fannin,"23,682",3.40%
GA,9,Forsyth,"52,805",7.60%
GA,9,Franklin,"22,084",3.20%
GA,9,Gilmer,"28,292",4.10%
GA,9,Habersham,"43,041",6.20%
GA,9,Hall,"179,684",26.00%
GA,9,Hart,"25,213",3.60%
GA,9,Jackson,"60,485",8.70%
GA,9,Lumpkin,"29,966",4.30%
GA,9,Madison,"28,120",4.10%
GA,9,Pickens,"19,112",2.80%
GA,9,Rabun,"16,276",2.40%
GA,9,Stephens,"26,175",3.80%
GA,9,Towns,"10,471",1.50%
GA,9,Union,"21,356",3.10%
GA,9,White,"27,144",3.90%
GA,10,Baldwin,"45,720",6.60%
GA,10,Barrow,"69,367",10.00%
GA,10,Butts,"23,655",3.40%
GA,10,Clarke,"99,536",14.40%
GA,10,Columbia,"15,328",2.20%
GA,10,Glascock,"3,082",0.40%
GA,10,Greene,"15,994",2.30%
GA,10,Gwinnett,"62,114",9.00%
GA,10,Hancock,"9,429",1.40%
GA,10,Henry,"45,768",6.60%
GA,10,Jasper,"13,900",2.00%
GA,10,Jefferson,"16,930",2.40%
GA,10,Johnson,"9,980",1.40%
GA,10,Lincoln,"7,996",1.20%
GA,10,McDuffie,"21,875",3.20%
GA,10,Morgan,"17,868",2.60%
GA,10,Newton,"21,410",3.10%
GA,10,Oconee,"32,808",4.70%
GA,10,Oglethorpe,"14,899",2.20%
GA,10,Putnam,"21,218",3.10%
GA,10,Taliaferro,"1,717",0.20%
GA,10,Walton,"83,768",12.10%
GA,10,Warren,"5,834",0.80%
GA,10,Washington,"21,187",3.10%
GA,10,Wilkes,"10,593",1.50%
GA,11,Bartow,"100,157",14.50%
GA,11,Cherokee,"214,346",31.00%
GA,11,Cobb,"337,811",48.80%
GA,11,Fulton,"39,661",5.70%
GA,12,Appling,"18,236",2.60%
GA,12,Bulloch,"70,217",10.10%
GA,12,Burke,"23,316",3.40%
GA,12,Candler,"10,998",1.60%
GA,12,Coffee,"42,356",6.10%
GA,12,Columbia,"108,725",15.70%
